Away,HW,Home,Total_Runs,awayRuns,date,homeRuns,awayStarter,homeStarter
Minnesota Twins,0,New York Yankees,0,0,May 4 2019,0,Jake Odorizzi,J.A. Happ
St. Louis Cardinals,0,Chicago Cubs,0,0,May 4 2019,0,Michael Wacha,Yu Darvish
Kansas City Royals,0,Detroit Tigers,0,0,May 4 2019,0,Homer Bailey,Tyson Ross
Seattle Mariners,0,Cleveland Indians,0,0,May 4 2019,0,Mike Leake,Carlos Carrasco
Atlanta Braves,0,Miami Marlins,0,0,May 4 2019,0,Mike Soroka,Trevor Richards
Tampa Bay Rays,0,Baltimore Orioles,0,0,May 4 2019,0,Ryne Stanek,Dylan Bundy
Oakland Athletics,0,Pittsburgh Pirates,0,0,May 4 2019,0,Chris Bassitt,Trevor Williams
Washington Nationals,0,Philadelphia Phillies,0,0,May 4 2019,0,Patrick Corbin,Jake Arrieta
New York Mets,0,Milwaukee Brewers,0,0,May 4 2019,0,Zack Wheeler,Gio Gonzalez
Houston Astros,0,Los Angeles Angels,0,0,May 4 2019,0,Wade Miley,Trevor Cahill
San Francisco Giants,0,Cincinnati Reds,0,0,May 4 2019,0,Dereck Rodriguez,Tanner Roark
Boston Red Sox,0,Chicago White Sox,0,0,May 4 2019,0,Eduardo Rodriguez,Manny Banuelos
Toronto Blue Jays,0,Texas Rangers,0,0,May 4 2019,0,Thomas Pannone,Lance Lynn
Arizona D'Backs,0,Colorado Rockies,0,0,May 4 2019,0,Luke Weaver,Kyle Freeland
Los Angeles Dodgers,0,San Diego Padres,0,0,May 4 2019,0,Rich Hill,Joey Lucchesi