GP_One_Day,GP_Two_Day,GP_Three_Day,Total_Pts,Home_Diff,HW,HOME,VISITOR,FG,FGA,FG_PCT,Three_Pointers,Three_Pointers_Att,Three_Pointers_Pct,Two_Pointers,Two_Pointers_Att,Two_Pointers_Pct,FTM,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,PACE,FTr,Three_PAr,OFF_eFG_PCT,OFF_TOV_PCT,ORB_PCT,OFF_FT_FGA,DEF_eFG_PCT,DEF_TOV_PCT,DRB_PCT,DEF_FT_FGA,oFG,oFGA,oFGPCT,o3P,o3PA,o3PCT,o2P,o2PA,o2PCT,oFTM,oFTA,oFTPCT,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,createdAt,updatedAt
0,0,-1,undefined,undefined,undefined,Atlanta Hawks,Orlando Magic,1.600,2.400,0.005,0.600,2.800,-0.011,0.900,-0.400,0.021,2.600,4.300,-0.033,2.700,-0.200,2.500,1.200,2,0.100,5.300,4.300,6.300,-5,5,-4,4,-4.040,0.130,-3.920,-0.800,2.800,7.300,0.042,0.022,0.008,3.500,5.200,0.024,0.021,1.700,-1.500,0.039,2.500,2.500,0.014,1.500,4.000,0.001,1,-1.500,0.031,3.900,6.200,-0.029,0.800,-1.500,-0.800,4.100,4.200,0.800,2.800,3.600,10.300,0,0
0,0,0,undefined,undefined,undefined,Boston Celtics,Miami Heat,2.300,1.500,0.018,1.400,2.700,0.011,1.100,-1.100,0.029,-0.400,-3.500,0.104,-1.800,-0.200,-1.900,2.400,1.000,-0.600,-1.400,-0.600,5.600,5,-3,9,-7,6.010,-0.040,5.980,4.100,-1.900,0.700,-0.044,0.023,0.025,-1,-3.500,-0.007,0,1.500,0.500,0,0,-0.300,0.002,-0.300,1.600,-0.027,0.300,-1.900,0.023,0,-0.100,-0.001,-0.400,1.300,0.900,0,-0.400,-1.700,1.900,-0.900,-0.400,0,0
0,0,1,undefined,undefined,undefined,Brooklyn Nets,Sacramento Kings,-3.400,-4.700,-0.014,0.600,3.900,-0.026,-4.100,-8.600,0.006,3.500,3.200,0.048,0.800,0.300,1.100,-2.200,-1.900,-0.500,0.900,0.300,-2.800,0,1,1,0,0.620,-1.460,-0.860,0.900,0.400,-4.600,0.049,0.062,-0.007,1.100,2.800,0.048,-0.012,-2.500,1.900,-0.008,-0.400,-0.400,-0.002,-1.900,-5.700,0.002,1.600,5.300,-0.021,-0.800,-1.200,0.005,-1.100,-2.800,-3.900,-2.100,-0.300,-0.500,-3.400,0.400,-3.400,0,0
0,0,1,undefined,undefined,undefined,Cleveland Cavaliers,Chicago Bulls,0.200,0.700,0,0,-0.700,0.011,0.200,1.300,-0.007,1.300,1.200,0.019,2.800,-1.900,0.800,-1.400,-1,-1.900,-1.700,0.400,1.900,-1,1,0,0,-0.240,-0.420,-0.670,5.400,6,-2.300,0.012,-0.010,0,-1.500,6.400,0.013,0.025,-1.300,0.600,-0.002,1.500,-1.700,0.026,-0.400,-2,0.010,1.900,0.300,0.031,-0.500,-0.300,-0.012,-0.900,-3,-4,0.100,-0.700,-0.300,-1.900,0.900,2.200,0,0
0,0,-1,undefined,undefined,undefined,Los Angeles Lakers,Golden State Warriors,-1.400,0.500,-0.018,-2.600,-2.500,-0.054,1.200,2.900,-0.006,-1.300,2.300,-0.136,0,0.900,1,-4.300,0.700,-0.600,1.500,-1.300,-6.700,-6,7,-6,7,-5.180,0.050,-5.130,-9,-3.800,2.600,0.024,-0.029,-0.033,0.900,-1.300,-0.016,-0.014,0.800,-1.900,-0.023,0.500,2.700,-0.008,-0.900,-2.100,-0.007,1.400,4.800,-0.016,-1.600,-2.600,0.018,1.400,2.600,4,-0.800,0.700,1.700,1.200,1.400,-1.500,0,0
0,0,0,undefined,undefined,undefined,Memphis Grizzlies,New Orleans Pelicans,-6.300,-8.500,-0.027,-0.800,-1.100,-0.016,-5.400,-7.400,-0.027,-3.300,-3.400,-0.025,-3.500,-3.500,-7,-3.800,1.200,0.600,-0.900,0.100,-16.600,-2,1,-6,5,-4.240,0.920,-3.330,-9.600,-5.300,-7.400,-0.012,0.018,-0.026,0.400,-7.200,-0.017,-0.016,2.800,1.100,0.030,-5.900,-9.700,-0.016,-1.100,-2.700,-0.003,-4.800,-7,-0.022,0.500,-0.200,0.022,-1.700,2.100,0.500,-2.700,-1.100,-0.700,2.100,-1,-12.400,0,0
0,0,0,undefined,undefined,undefined,Milwaukee Bucks,Dallas Mavericks,4.700,4.500,0.030,1.300,3.600,0.001,3.300,0.800,0.056,-2.900,-4.400,0.016,-1.200,4.300,3.100,4.100,0.100,1.500,-1.400,0.900,7.800,12,-12,12,-12,9.730,-1.330,8.400,4.400,-5,2.900,-0.064,0.020,0.033,-1.300,-3,-0.044,-0.019,-0.200,3.300,-0.004,-1.900,1.700,-0.030,2.100,4.700,0.014,-4.100,-3,-0.045,-0.100,0.500,-0.023,-0.800,1.500,0.600,-0.500,-1.800,-0.100,0.100,-3.800,-1.900,0,0
0,0,0,undefined,undefined,undefined,New York Knicks,Oklahoma City Thunder,-3.400,-2.800,-0.024,0.200,-0.700,0.015,-3.600,-2,-0.042,0.400,-1.700,0.067,-1.300,-2.200,-3.600,-3,-3.100,-1,-0.800,-0.900,-6.300,-16,16,-17,17,-12.890,1.700,-11.190,-3.200,9.400,-3.100,-0.011,0.001,-0.021,-0.300,-3,0.010,0.027,-2.900,-2.400,0,2.700,1.500,0.022,1,1.700,0.013,1.600,-0.100,0.029,0.300,0.400,-0.002,0.700,1.900,2.600,1.500,-1.200,1.100,-3.500,-2,6.500,0,0
0,0,0,undefined,undefined,undefined,Philadelphia 76ers,Houston Rockets,3,1.900,0.025,-4,-12.300,0.008,7.100,14.100,-0.012,1.400,2.200,-0.011,-0.300,5.800,5.500,6.300,-0.300,0.200,1.900,0,3.500,5,-3,3,-1,1.370,-1.850,-0.490,-2.600,-3.900,5.100,0.019,-0.150,0,1.100,-0.400,0.012,-0.025,-1.300,3.600,-0.004,0.300,5.400,-0.024,0.600,1.300,0.005,-0.300,4.200,-0.040,0.800,0.700,0.010,-0.300,-0.100,-0.400,-0.800,-0.100,-0.600,-0.800,2.300,2.100,0,0
0,0,0,undefined,undefined,undefined,Utah Jazz,Portland Trail Blazers,-2.200,-4.800,0.001,0.300,2.200,-0.013,-2.500,-6.900,0.021,0,2.800,-0.088,-1.700,-1.200,-2.800,2.400,2.100,0.400,1.200,0.900,-3.900,-2,2,2,-2,1.050,0.170,1.210,-3.700,-4.800,0.700,0.047,0.045,0.006,1.300,-3,0.012,-0.005,2.300,2,0.007,-1.800,-3.900,-0.001,-1.200,-2.400,-0.009,-0.800,-1.500,0,0,0.100,-0.006,-1.500,0.300,-1.200,-2.500,1.200,-0.700,2.400,2.200,-4.900,0,0
0,0,-1,undefined,undefined,undefined,Washington Wizards,Detroit Pistons,2.900,0.500,0.030,-0.100,-1,0.007,3.100,1.500,0.040,0.500,0,0.023,-2.400,-2.200,-4.600,3.500,1.800,1.100,-0.300,-1.600,6.300,0,2,0,2,-0.570,-0.570,-1.140,3.200,3.600,2.400,-0.002,-0.013,0.029,-0.300,-4.300,0.005,0.014,1.200,-6.800,-0.016,2.100,4.500,0,3,4.700,0.046,-0.900,-0.200,-0.014,-0.400,-0.800,0.007,3.100,0.600,3.800,1.500,0.400,-0.700,2.300,-0.200,6.900,0,0
